"Fecha","Hora","DAM","RTM"
2024-08-04,10,14.07,16.97
2024-08-04,11,17.96,18.18
2024-08-04,12,21.82,19.07
2024-08-04,13,25.5,20.94
2024-08-04,14,28.2,23.21
2024-08-04,15,27.51,25.69
2024-08-04,16,30.83,29.4
2024-08-04,17,32.11,25.83
2024-08-04,18,32.01,35.57
2024-08-04,19,37.41,45.35
2024-08-04,20,75.65,51.86
2024-08-04,21,49.27,40.51
2024-08-04,22,24.69,28.31
2024-08-04,23,24.02,24.5
2024-08-04,24,22.39,21.84
2024-08-28,16,36.01,16.76
2024-08-28,17,34.4,11.35
2024-08-28,18,30.54,-26.95
2024-08-28,19,29.95,-21.97
2024-08-28,20,24.58,15.94
2024-08-28,21,35.88,22.38
2024-08-28,22,30.01,20.7
2024-08-28,23,25.57,20.14
2024-08-28,24,23.37,19.26
2024-08-29,1,20.17,18.16
2024-08-29,2,18.82,17.87
2024-08-29,3,18.07,17.54
2024-08-29,4,18.42,17.53
2024-08-29,5,19.13,17.42
2024-08-29,6,21.92,19.8
2024-08-29,7,24.74,24.81
2024-08-29,8,23.43,22.45
2024-08-29,9,18.18,16.77
2024-08-29,10,16.34,13.62
2024-08-29,11,17.65,18.25
2024-08-29,12,21.07,19.7
2024-08-29,13,23.56,18.76
2024-08-29,14,24.19,19.94
2024-08-29,15,28.06,22.9
2024-08-29,16,29.98,27.66
2024-08-29,17,31.03,25.52
2024-08-29,18,31.51,28.9
2024-08-29,19,34.71,34.66
2024-08-29,20,37.86,77.82
2024-08-29,21,27.65,44.3
2024-08-29,22,25.23,24.78
2024-08-29,23,22.23,24.33
2024-08-29,24,18.86,20.3
2024-08-30,1,16.4,20.77
2024-08-30,2,15.89,20.28
2024-08-30,3,16.72,20.23
2024-08-30,4,17.33,20.14
2024-08-30,5,18.58,21.05
2024-08-30,6,21.76,24.32
2024-08-30,7,24.62,27.44
2024-08-30,8,23.02,24.49
2024-08-30,9,17.96,21.12
2024-08-30,10,17.72,19.5
2024-08-30,11,19.81,20.32
2024-08-30,12,22.58,18.74
2024-08-30,13,21.88,20.93
2024-08-30,14,26.5,21.18
2024-08-30,15,27.28,17.7
2024-08-30,16,29.16,20.93
2024-08-30,17,32.23,18.95
2024-08-30,18,31.51,21.12
2024-08-30,19,32.87,25.84
2024-08-30,20,41.55,-8.12
2024-08-30,21,35.92,48.25
2024-08-30,22,30.91,31.46
2024-08-30,23,25.95,33.91
2024-08-30,24,24.04,34.24
2024-08-31,1,24.95,24.44
2024-08-31,2,23.55,24.3
2024-08-31,3,22.11,21.06
2024-08-31,4,21.07,20.2
2024-08-31,5,20.75,20.54
2024-08-31,6,21.15,19.68
2024-08-31,7,21.68,19.59
2024-08-31,8,20.3,18.81
2024-08-31,9,17.49,18.01
2024-08-31,10,16.6,19.51
2024-08-31,11,17.3,19.1
2024-08-31,12,18.93,18.76
2024-08-31,13,19.51,21.16
2024-08-31,14,21.76,21.87
2024-08-31,15,24.82,21.42
2024-08-31,16,26.69,24.63
2024-08-31,17,26.82,23.88
2024-08-31,18,29.35,26.18
2024-08-31,19,38.52,53.55
2024-08-31,20,60.55,64.32
2024-08-31,21,53.78,38.95
2024-08-31,22,35.48,48.73
2024-08-31,23,27.28,28.66
2024-08-31,24,24.45,27.33
2024-09-24,14,37.91,40.51
2024-09-24,15,38.91,33.36
2024-09-24,16,42.56,38.05
2024-09-24,17,35.22,41.64
2024-09-24,18,36.19,52.85
2024-09-24,19,57.26,43.71
2024-09-24,20,68.08,-8.98
2024-09-24,21,46.26,65.88
2024-09-24,22,36.38,53.77
2024-09-24,23,30.47,35.8
2024-09-24,24,26.24,29.14
2024-09-25,1,26.47,32.64
2024-09-25,2,24.88,31
2024-09-25,3,24.26,29.87
2024-09-25,4,23.32,29.53
2024-09-25,5,23.08,31.05
2024-09-25,6,24.27,31.32
2024-09-25,7,28.35,27.9
2024-09-25,8,26.1,25.16
2024-09-25,9,20.74,19.14
2024-09-25,10,22.69,22.86
2024-09-25,11,27.07,32.36
2024-09-25,12,33.2,31.06
2024-09-25,13,40.01,34.39
2024-09-25,14,47.87,67.64
2024-09-25,15,56.97,74.58
2024-09-25,16,57,71.74
2024-09-25,17,58.33,57.95
2024-09-25,18,44,36.06
2024-09-25,19,70.91,38.55
2024-09-25,20,91.22,60.22
2024-09-25,21,63.66,39.73
2024-09-25,22,43.28,35.57
2024-09-25,23,31.9,28.48
2024-09-25,24,27.76,26.72
2024-09-26,1,24.24,25.88
2024-09-26,2,21.39,23.42
2024-09-26,3,20.1,23.99
2024-09-26,4,14.59,23.13
2024-09-26,5,8.71,20.39
2024-09-26,6,4.93,20.37
2024-09-26,7,-4.7,17.44
2024-09-26,8,8.14,13.42
2024-09-26,9,12.01,13.48
2024-09-26,10,8.19,14.4
2024-09-26,11,8.94,18.03
2024-09-26,12,15.63,19.29
2024-09-26,13,18.27,22.22
2024-09-26,14,18.25,23.58
2024-09-26,15,18.55,22.61
2024-09-26,16,21.27,23.76
2024-09-26,17,20.82,26.48
2024-09-26,18,23.48,27.69
2024-09-26,19,59.98,64.41
2024-09-26,20,83.61,64.83
2024-09-26,21,53.77,48.51
2024-09-26,22,35.83,30.01
2024-09-26,23,27.09,26.25
2024-09-26,24,25.18,22.58
2024-09-27,1,22.71,21.91
2024-09-27,2,20.64,20.74
2024-09-27,3,19.5,19.27
2024-09-27,4,18.89,18.58
2024-09-27,5,19.15,18.27
2024-09-27,6,21.48,18.2
2024-09-27,7,23.79,19.49
2024-09-27,8,23.24,18.78
2024-09-27,9,16.47,15.9
2024-09-27,10,14.28,14.78
2024-09-27,11,18.09,16.45
2024-09-27,12,24.63,17.78
2024-09-27,13,28.31,18.84
